stop_id,stop_name,stop_lat,stop_lon,district_name,population,pop_density_sqkm,daily_trips_count,avg_headway_secs
misted.agreeable.centuries,Ahmed Oraby Street,30.060907,31.242842,,,,405,5654.711111111111
rocky.loving.paddocks,Ahmed Saaed Bridge - End,30.07067,31.272882,,,,63,5264.857142857143
wool.today.shun,Ahmed Saaed Bridge - Start,30.070751,31.272835,,,,432,6230.0
knees.tornado.wings,Ahmed Saeed St - Abaseyya St,30.06404,31.272823,,,,279,5448.225806451613
ocean.winds.earth,Ahram School for Basic Education,29.988497,31.112795,,,,45,7264.0
relies.press.archives,Aida - Ahmed Helmy St,30.08503,31.255957,,,,72,3704.875
strikers.hips.lively,Aida - Ahmed Helmy St,30.084835,31.25583,,,,45,3344.6
duplicate.juices.tutored,Ain Helwan Metro Station,29.862497,31.32542,,,,27,651.6666666666666
laughs.tech.hourglass,Ain Helwan Metro Station,29.862564,31.325506,,,,18,781.5
calendars.surgical.definite,Ain Shams Metro,30.130777,31.319643,,,,18,644.5
deflated.bath.animates,Ain Shams University,30.075768,31.287046,,,,360,6449.25
faced.appoints.herds,Ain Shams University,30.075634,31.287308,,,,441,6274.081632653061
drumbeat.assures.awoke,Ain Shams University - Obour,30.204412,31.45731,,,,9,300.0
incisions.exile.gravitate,Ain Shams University - Obour,30.204477,31.457481,,,,9,300.0
rentals.last.generally,Ain Shams University Dorms,30.077845,31.28954,,,,432,6359.854166666667
warping.nerd.unhappy,Ain Shams University Dorms,30.077913,31.289207,,,,297,6333.090909090909
trickster.scoring.sugar,Air Force Hospital,30.01642,31.433527,New Cairo City,5712885.0,15000.0,18,4666.0
trickster.scoring.sugar,Air Force Hospital,30.01642,31.433527,New Cairo City,5712885.0,15000.0,18,4666.0
trickster.scoring.sugar,Air Force Hospital,30.01642,31.433527,New Cairo City,5712885.0,15000.0,18,4666.0
trickster.scoring.sugar,Air Force Hospital,30.01642,31.433527,New Cairo City,5712885.0,15000.0,18,4666.0
vitals.transmits.hothouse,Air Force Hospital,30.016115,31.43341,New Cairo City,5712885.0,15000.0,27,5128.333333333333
vitals.transmits.hothouse,Air Force Hospital,30.016115,31.43341,New Cairo City,5712885.0,15000.0,27,5128.333333333333
vitals.transmits.hothouse,Air Force Hospital,30.016115,31.43341,New Cairo City,5712885.0,15000.0,27,5128.333333333333
vitals.transmits.hothouse,Air Force Hospital,30.016115,31.43341,New Cairo City,5712885.0,15000.0,27,5128.333333333333
object.wake.beak,Air Force Hospital - Al Waili,30.062466,31.273512,,,,405,5505.666666666667
boils.costly.attitudes,Akhnaton School,30.006256,31.414314,New Cairo City,5712885.0,15000.0,9,300.0
boils.costly.attitudes,Akhnaton School,30.006256,31.414314,New Cairo City,5712885.0,15000.0,9,300.0
boils.costly.attitudes,Akhnaton School,30.006256,31.414314,New Cairo City,5712885.0,15000.0,9,300.0
boils.costly.attitudes,Akhnaton School,30.006256,31.414314,New Cairo City,5712885.0,15000.0,9,300.0
remarking.locals.politics,Akhnaton School,30.006426,31.414362,New Cairo City,5712885.0,15000.0,9,300.0
remarking.locals.politics,Akhnaton School,30.006426,31.414362,New Cairo City,5712885.0,15000.0,9,300.0
remarking.locals.politics,Akhnaton School,30.006426,31.414362,New Cairo City,5712885.0,15000.0,9,300.0
remarking.locals.politics,Akhnaton School,30.006426,31.414362,New Cairo City,5712885.0,15000.0,9,300.0
mailboxes.bound.costs,Al Aalam Specialized Hospital,30.066193,31.191797,,,,135,4106.133333333333
motivates.quail.mermaids,Al Aalam Specialized Hospital,30.066238,31.191692,,,,153,3581.4117647058824
punctual.across.helpers,Al Abageyya Entrance - Autostrad,30.021492,31.263771,,,,189,5299.952380952381
refusals.trustees.proven,Al Abageyya Entrance - Autostrad,30.021446,31.263645,,,,72,3687.125
rinsed.treat.zaps,Al Abageyya Entrance - Autostrad,30.02143,31.263554,,,,108,4788.083333333333
implore.voucher.brightens,Al Abaseyya Institute for Computers,30.141941,31.322317,,,,9,3166.0
lyricist.pursuit.crusaders,Al Abeet Steps - Ring Road,30.066568,31.174341,,,,54,2754.0
taps.race.aimlessly,Al Abeet Steps - Ring Road,30.066582,31.174503,,,,72,3395.0
budgeted.plea.foggy,Al Abtal City - 15th of May,29.82824,31.354675,,,,18,6393.0
outhouse.howler.unwanted,Al Abtal Club - Ein Al Seera,30.016285,31.25047,,,,27,2128.0
players.lifeguard.musician,Al Abtal Club - Ein Al Seera,30.016209,31.250294,,,,99,3903.2727272727275
hazelnuts.abstracts.proven,Al Abyad Automotive - King Faisal St,30.013403,31.198666,,,,45,973.0
strictest.scaffold.snatched,Al Abyad Automotive - King Faisal St,30.01348,31.198534,,,,63,1008.7142857142857
diagram.swimmer.regarding,Al Agouza Hospital,30.056046,31.216007,,,,207,3891.9565217391305
gurgling.consumed.purple,Al Agouza Hospital,30.055784,31.215935,,,,207,3776.0434782608695
agency.promoted.groom,Al Agouza Steps - October Bridge,30.048407,31.218903,,,,162,3831.4444444444443
protester.park.carefully,Al Agouza Steps - October Bridge,30.048462,31.218576,,,,189,3958.6190476190477
deal.ties.wand,Al Ahli Bank - Courniche Bolak,30.062214,31.227352,,,,108,4385.25
starlight.seats.ventures,Al Ahli Bank - Courniche Bolak,30.062159,31.227253,,,,117,5974.0
grumbling.digesting.picturing,Al Ahli Bank - King Faisal St,30.006664,31.18118,,,,63,1008.7142857142857
hides.keen.prancing,Al Ahli Bank - King Faisal St,30.006525,31.181217,,,,54,840.0
blown.croaking.finally,Al Ahly Sporting Club,30.071419,31.354548,,,,117,3898.153846153846
renewals.irritable.squeaks,Al Ahly Sporting Club,30.071619,31.3545,,,,144,3421.875
cycled.gained.juicy,Al Alg Exit - Ring Road,30.165888,31.359163,,,,153,3272.470588235294
prune.remember.sofas,Al Amir Steps - Ring Road,30.163588,31.318558,,,,180,2979.95
remarried.skim.feelers,Al Amir Steps - Ring Road,30.163439,31.31855,,,,162,2597.6666666666665
recall.everybody.refrained,Al Andalous Specialized Hospital,30.04051,31.329748,,,,117,6393.076923076923
reheat.bitter.neater,Al Ansar School - Gesr Al Suez,30.117926,31.33605,,,,9,3536.0
boring.similar.salaried,Al Areesh - Haram Street,29.99377,31.160122,,,,135,5929.466666666666
disclose.outs.reheat,Al Areesh - Haram Street,29.99386,31.15995,,,,135,5839.466666666666
flats.shrugging.visual,Al Atraby St - Gesr Al Suez,30.116325,31.336695,,,,9,5664.0
witty.zooms.euphoric,Al Atraby St - Gesr Al Suez,30.116423,31.336401,,,,90,5959.4
album.migrants.headings,Al Azhar Park Gate,30.040054,31.266449,,,,99,2961.4545454545455
jabs.puppets.trombone,Al Azhar Park Gate,30.040133,31.266335,,,,99,1877.6363636363637
songbird.storms.touchy,Al Azhar Pedestrian Bridge,30.06076,31.307467,,,,261,5194.689655172414
mainframe.icebergs.stormed,Al Azhar University - North,30.062645,31.31107,,,,243,4445.111111111111
sleeping.bandwagon.talent,Al Azhar University - North,30.062895,31.310915,,,,315,5276.2
extend.padding.portfolio,Al Azhar University - South,30.051044,31.320545,,,,189,4799.523809523809
breakaway.resurgent.averages,Al Azhar University Hospital - Nasr City,30.054197,31.31215,,,,144,5395.1875
steam.kilt.limbs,Al Azhar University Hospital - Nasr City,30.054237,31.311935,,,,90,5774.7
allowable.task.spouse,Al Aziz Bellah - Gesr Al Suez,30.099646,31.315746,,,,63,7548.142857142857
pheasants.vacancies.recur,Al Aziz Bellah - Gesr Al Suez,30.099487,31.315928,,,,117,7165.307692307692
torched.minder.rejoins,Al Aziz Bellah St - Selim Al Awwal St,30.102497,31.310328,,,,72,6264.375
maddening.tugging.whites,Al Azizeya Bridge,29.879017,31.246502,,,,9,2582.0
scoping.cheeses.nightcap,Al Azizeya Bridge,29.879131,31.247019,,,,9,2582.0
mediate.agreement.plunge,Al Bahr Al Aazam Exit - End (Moneeb),29.989006,31.215307,,,,72,2978.125
flashback.obscuring.lottery,Al Bahr Al Aazam Exit - Start,29.98712,31.218306,,,,135,3303.3333333333335
eternity.headstone.haunts,Al Bahs Al Genaee - Sherket Al Maadi St,29.985086,31.283495,,,,72,5850.125
existence.shapes.resists,Al Bahs Al Genaee - Sherket Al Maadi St,29.985058,31.283352,,,,63,6199.571428571428
airstrip.reliving.buildings,Al Baloun Theatre - Agouza,30.059023,31.215128,,,,207,3776.0434782608695
subplot.arch.goes,Al Baloun Theatre - Agouza,30.059204,31.215204,,,,216,3991.5833333333335
bless.hazel.comforted,Al Banat Mosque Bus Station,30.046577,31.254023,,,,414,5424.760869565217
buffoon.icebergs.bids,Al Banat Mosque Bus Station,30.046368,31.253794,,,,387,5463.0
indirect.dispensed.brightens,Al Banhawi Bus Station,30.057482,31.260452,,,,171,4399.736842105263
warriors.vitals.coping,Al Banhawi Bus Station,30.057438,31.260529,,,,288,5533.4375
weddings.workflow.examples,Al Banhawi Bus Station,30.05738,31.26046,,,,81,4115.222222222223
nipping.restores.dodges,Al Barageel Entrance,30.06439,31.16148,,,,9,146.0
deriving.pump.floating,Al Barageel Steps - Ring Road,30.076935,31.179018,,,,90,2910.8
luck.stunts.rewrites,Al Barageel Steps - Ring Road,30.077274,31.179132,,,,81,2455.3333333333335
bracing.stadium.education,Al Basateen Al Emomy,29.989283,31.267546,,,,27,2401.0
letters.quietest.bouncing,Al Basrawy Imbaba Bus Station,30.083326,31.2064,,,,9,958.0
fried.snuck.reason,Al Batal Ahmed - Saheb Al Diwan,30.216969,31.354765,,,,72,2931.0
activity.pushover.coach,Al Behiry Stone - Basateen,29.988531,31.271383,,,,72,3332.25
steady.nurses.pelted,Al Behiry Stone - Basateen,29.988571,31.271852,,,,117,6909.846153846154
option.handed.shudders,Al Bibany St,30.034868,31.25552,,,,162,4965.722222222223
steep.whirlpool.edits,Al Bibany St,30.034882,31.255587,,,,153,4380.176470588235
active.hindered.reclined,Al Bohi Imbaba Bus Station,30.08783,31.212393,,,,72,2221.0
erupts.threaten.wrenching,Al Bohi Imbaba Bus Station,30.087969,31.212423,,,,63,2363.285714285714
mural.sonic.rainfall,Al Bosta Steps - Ring Road,30.11304,31.203129,,,,54,2754.0
meatball.hence.flocking,Al Central St - Abou Al Farag St,30.074373,31.23372,,,,99,4515.818181818182
