stop_id,stop_name,stop_lat,stop_lon,district_name,population,pop_density_sqkm
partners.golden.grouping,Al Darb Al Ahmar Police Station,30.038025,31.251856,,,
behave.tickles.duplicate,Al Darrasa Bus Station,30.047348,31.270027,,,
embedded.line.incensed,Al Dawagen - Maadi,29.879644,31.28941,,,
squirted.flaked.shakes,Al Dawagen - Maadi,29.87965,31.289314,,,
adapt.toothpick.repelled,Al Demerdash Hospital,30.071589,31.27647,,,
sketches.adding.detonated,Al Demerdash Hospital,30.07151,31.276516,,,
data.duos.shirtless,Al Demerdash Metro Station,30.076593,31.277029,,,
foil.straying.elsewhere,Al Demerdash Metro Station,30.077461,31.276802,,,
storybook.modem.suitable,Al Demerdash Metro Station,30.0774,31.276953,,,
kettles.shred.pebbles,Al Dokki Square,30.038311,31.211502,,,
vision.avoiding.crispier,Al Dokki Square,30.038116,31.211128,,,
boomed.tall.intrigued,Al Eman Mosque,30.064728,31.344893,,,
halt.snips.fidgeting,Al Eman Mosque,30.064705,31.344683,,,
earphones.severe.surround,Al Farag Butchery - Magra Al Oyoun,30.021412,31.235706,,,
office.wriggled.chambers,Al Farag Butchery - Magra Al Oyoun,30.021336,31.235683,,,
vans.strictest.gratuity,Al Faragany - Ain Shams St,30.117764,31.31749,,,
icebergs.generated.basis,Al Fath Mosque - Mansheyyet Al Gamal St,30.097773,31.249105,,,
mistaken.riots.skid,Al Fath Mosque - Mansheyyet Al Gamal St,30.09789,31.249075,,,
loft.survey.contained,Al Fath Schools - Abou Al Nomros,29.964838,31.21103,,,
airship.plotting.shuttled,Al Fath Superjet,30.046207,31.307924,,,
folk.power.array,Al Fath Superjet,30.046257,31.308014,,,
golden.loafing.dimension,Al Fath Superjet,30.04619,31.307695,,,
quilt.weeps.heeding,Al Fath Superjet,30.046215,31.307783,,,
denim.fired.cutlets,Al Fayoum Road,29.947035,31.099562,,,
paramedic.plenty.beakers,Al Fayrouz Medical Center - Helwan,29.84326,31.303904,,,
repay.weeps.piston,Al Fayrouz Medical Center - Helwan,29.84321,31.303768,,,
recruiter.dominate.handicaps,Al Fouad Hospital - Abasseya,30.078667,31.277546,,,
tucked.browser.jelly,Al Gabal Al Asfar - Marg,30.203571,31.355211,,,
allow.reliving.swordfish,Al Galaa Bridge,30.095953,31.342318,,,
deprive.narrates.bandstand,Al Galaa Bridge,30.094833,31.342402,,,
lasted.apples.bulbs,Al Galaa Bridge,30.09476,31.342104,,,
recipient.mystified.type,Al Galaa Military Hospital,30.099928,31.350761,,,
report.delays.coasters,Al Galaa Military Hospital,30.10023,31.35057,,,
tall.represent.artichoke,Al Gamaia Al Sharaia,30.04764,31.31393,,,
chart.headstone.printout,Al Gamaleya Youth Center,30.050003,31.268854,,,
peach.fall.openly,Al Gamaleya Youth Center,30.049973,31.268959,,,
rant.outbound.stockpile,Al Garage - Sawah,30.105597,31.2816,,,
chainsaw.plums.gifts,Al Gazareen - Gamal Abd El Nasser St - Warraq,30.101063,31.222471,,,
gazes.adverbs.saturate,Al Gazareen - Gamal Abd El Nasser St - Warraq,30.101206,31.222555,,,
gender.movie.arose,Al Geish Square,30.062183,31.267786,,,
moped.assures.health,Al Geish Square,30.062384,31.267963,,,
fruitcake.inflates.grows,Al Gezeera - Moqattam,30.010698,31.303282,,,
stumble.rested.uttering,Al Gezeera - Moqattam,30.01081,31.303375,,,
acid.alone.factoring,Al Gezira Steps - October Bridge,30.04906,31.226988,,,
chatters.ditching.crockery,Al Gezira Steps - October Bridge,30.049189,31.226954,,,
measure.skinning.nitrogen,Al Gomhoreyya - Al Masraf,30.175446,31.347479,,,
material.televise.galaxies,Al Gomhoreyya - Howd Al Shaikh,30.187437,31.351437,,,
measuring.passion.holds,Al Habib Mosque - Barageel,30.073574,31.169323,,,
infinite.plankton.arrow,Al Hamd Square,30.001915,31.422941,New Cairo City,5712885.0,15000.0
infinite.plankton.arrow,Al Hamd Square,30.001915,31.422941,New Cairo City,5712885.0,15000.0
infinite.plankton.arrow,Al Hamd Square,30.001915,31.422941,New Cairo City,5712885.0,15000.0
infinite.plankton.arrow,Al Hamd Square,30.001915,31.422941,New Cairo City,5712885.0,15000.0
rocket.bronzer.mothering,Al Hamd Square,30.002216,31.423113,New Cairo City,5712885.0,15000.0
rocket.bronzer.mothering,Al Hamd Square,30.002216,31.423113,New Cairo City,5712885.0,15000.0
rocket.bronzer.mothering,Al Hamd Square,30.002216,31.423113,New Cairo City,5712885.0,15000.0
rocket.bronzer.mothering,Al Hamd Square,30.002216,31.423113,New Cairo City,5712885.0,15000.0
duties.stumps.monopoly,Al Haq Hospital - Arbean St,30.133135,31.314157,,,
capacity.cases.according,Al Hawamdeya General Hospital,29.887955,31.272583,,,
nearly.stag.pylon,Al Hawamdeya General Hospital,29.887932,31.27242,,,
gains.regretted.coupler,Al Hawamdeya Traffic Authority,29.905104,31.268637,,,
inhabited.palace.braked,Al Hawamdeya Traffic Authority,29.905119,31.268744,,,
